日期,联赛,主队,客队,大球初盘赔率,大小球初盘,小球初盘赔率,大球终盘赔率,大小球终盘,小球终盘赔率,初盘主队让球赔率,初盘亚盘,初盘客队让球赔率,终盘主队让球赔率,终盘亚盘,终盘客队让球赔率,主队全场进球数,客队全场进球数,主队半场进球数,客队半场进球数,主队ELO评分,客队ELO评分
2024/10/1 21:00,A170,马拉维U20,莱索托U20,0.82,2.5,0.94,0.77,2.5,0.99,0.77,0.75,0.99,0.95,0.75,0.81,2,3,0,2,1485,1515
2024/10/1 21:00,A267,阿尔比恩,切里托,0.96,2,0.84,1.11,2,0.7,1.05,0.5,0.77,1.16,0.5,0.68,0,3,0,1,1485,1515
2024/10/1 21:15,A519,哈利亚,富查伊拉,0.95,2.5,0.81,1.04,2.5,0.76,1.01,-0.75,0.75,0.86,-0.75,0.96,1,2,1,1,1485,1515
2024/10/1 21:15,A519,哈塔,迪哈夫拉,0.79,2.5,0.97,0.95,2.5,0.85,0.95,0.5,0.81,0.79,0.25,1.03,0,0,0,0,1500,1500
2024/10/1 21:15,A416,喀山红宝石,沃罗涅日火炬,1,2.5,0.8,0.92,2.25,0.88,0.84,0.75,0.98,0.78,0.75,1.04,0,1,0,1,1485,1515
2024/10/1 22:00,A301,罗西斯,斯达布尔诺,0.91,3,0.85,0.96,3,0.84,0.78,0.5,0.98,0.94,0.5,0.88,0,0,0,0,1500,1500
2024/10/1 22:00,A219,西澳奈姆,CR曼茲拉,0.92,2,0.78,1.04,2,0.66,0.93,0.75,0.77,0.71,0.75,0.99,1,0,1,0,1515,1485
2024/10/1 22:00,A414,巴塞罗那U19,年青人U19,1,3.5,0.8,0.77,3.5,0.99,0.88,2,0.94,0.95,2.25,0.81,4,2,2,1,1515,1485
2024/10/1 22:00,A185,克尔赫提,哥里迪拉,0.87,2.25,0.93,0.83,2.25,0.99,0.84,-0.75,0.98,1,-0.75,0.84,2,2,0,0,1500,1500
2024/10/1 22:00,A414,阿森纳U19,巴黎圣日门U19,1,3,0.8,0.9,3.25,0.86,0.75,0.5,1.07,0.74,0.75,1.02,1,0,1,0,1515,1485
2024/10/1 22:00,A28,葡萄牙女足U19,希腊女足U19,0.9,3.5,0.8,0.7,3.5,1,0.85,2.25,0.85,0.88,2.25,0.82,4,0,2,0,1515,1485
2024/10/1 22:00,A37,海德拉巴,钦奈,0.86,2.75,0.94,0.84,2.75,1.02,0.95,-1,0.87,1.07,-1,0.82,0,0,0,0,1500,1500
2024/10/1 22:00,A414,多特蒙德U19,些路迪U19,1,3,0.8,0.63,3.5,1.07,0.8,0.75,1.02,0.69,1.5,1.01,4,0,1,0,1515,1485
2024/10/1 22:45,A243,希杭女足,拉科鲁尼亚女足,0.95,3.25,0.75,1,3.25,0.76,0.86,-2.25,0.84,0.86,-2.25,0.9,0,6,0,1,1485,1515
2024/10/1 23:00,A356,雅莫科,阿尔加利尔,0.9,2.25,0.86,1.04,2.25,0.76,0.88,0.25,0.88,0.9,0.25,0.92,2,1,2,0,1515,1485
2024/10/1 23:00,A567,舒拉克,万卡仁沙万,0.76,2.5,0.94,0.84,2.75,0.86,0.95,0.25,0.75,0.96,0.25,0.74,0,3,0,2,1485,1515
2024/10/1 23:00,A388,帕纳瓦兹,维尔纽斯投资,0.95,2.25,0.81,0.81,2.5,1.01,0.89,0.25,0.87,1.06,0.5,0.78,2,1,1,0,1515,1485
2024/10/1 23:30,A416,莫斯科火车头,奥伦堡加索维克,0.92,3.25,0.88,0.92,3.5,0.88,1,1.5,0.82,0.9,1.5,0.92,2,1,1,0,1515,1485
2024/10/1 23:40,A32,艾卜哈,费萨里哈曼,0.95,2.25,0.85,0.9,2.25,0.9,0.82,0.25,1,1.07,0.25,0.75,3,1,2,1,1515,1485
2024/10/1 23:40,A32,积尼达,巴腾,0.79,2.25,1.01,0.88,2.25,0.92,0.75,-0.25,1.07,1.2,0.25,0.65,0,0,0,0,1500,1500
2024/10/2 0:00,A419,AEK拉纳卡,阿克里塔斯,0.95,3.25,0.75,0.98,3.25,0.82,0.85,2,0.85,1.02,2,0.8,5,0,2,0,1515,1485
2024/10/2 0:00,A185,葛吉拉,第比利斯迪纳摩,1,2.5,0.8,1.26,2.5,0.61,0.93,-0.5,0.89,0.93,-0.5,0.91,0,0,0,0,1500,1500
2024/10/2 0:00,A411,沙迦,阿尔维达特,0.92,2.5,0.88,0.97,2.5,0.83,0.88,1.25,0.94,0.84,1.5,0.98,2,2,1,1,1500,1500
2024/10/2 0:00,A411,塞帕汉,杜尚别独立,0.86,2.5,0.94,1.03,2.5,0.77,0.85,1.75,0.97,1.04,1.5,0.78,4,0,2,0,1515,1485
2024/10/2 0:30,A107,柏迪亚,诺瓦拉,0.78,1.75,0.98,0.86,1.75,0.94,0.82,0,0.94,1.08,0,0.74,1,1,1,1,1500,1500
2024/10/2 0:30,A568,汉堡U19,罗斯托克U19,0.82,4,0.88,0.65,4,1.12,0.85,2,0.85,0.77,2.25,0.99,2,4,0,3,1485,1515
2024/10/2 0:45,A413,斯图加特,布拉格斯巴达,0.84,3,0.96,0.91,3.25,0.98,0.88,1,0.94,0.84,1.25,1.05,1,1,1,1,1500,1500
2024/10/2 0:45,A413,萨尔茨堡,布雷斯特,0.91,2.75,0.89,1.03,2.75,0.86,1.02,0.75,0.8,1.09,0.5,0.8,0,4,0,1,1485,1515
2024/10/2 1:00,A145,SV盖拉斯多夫结巴,梅尔尼格,0.8,3.5,0.9,0.85,3.5,0.95,0.92,0.75,0.78,0.98,0.75,0.84,2,1,1,1,1515,1485
2024/10/2 1:00,A329,维也纳维多利亚,特赖斯基兴,0.89,3.5,0.81,0.89,3,0.81,0.91,0.25,0.79,0.96,0.25,0.74,1,1,0,0,1500,1500
2024/10/2 1:00,A397,格来斯多夫,沃克拉马克,0.75,2.5,0.95,0.87,2.5,0.83,0.93,0.25,0.77,0.75,0.25,0.95,0,3,0,0,1485,1515
2024/10/2 1:00,A185,巴塔米戴拿模,山姆特迪雅,0.84,2.75,0.96,0.97,2.75,0.85,0.88,1.5,0.94,0.81,1,1.03,1,2,1,0,1485,1515
2024/10/2 1:00,A180,卡比利亚,MC阿尔及尔,0.87,1.75,0.93,0.94,1.75,0.82,0.77,0,1.05,0.88,0,0.88,1,2,1,1,1485,1515
2024/10/2 1:15,A32,阿尔纳泽马,尼奥姆,0.9,2.5,0.9,0.79,2.25,1.01,0.92,-1,0.9,0.91,-1.25,0.91,2,3,0,2,1485,1515
2024/10/2 1:45,A416,诺夫哥罗德,莫斯科中央陆军,0.86,2.5,0.94,0.81,2.75,0.99,1.02,-1,0.8,0.86,-1.5,0.96,0,2,0,0,1485,1515
2024/10/2 2:00,A276,曼彻斯特联U21,柏林赫塔青年队,0.8,3.25,0.96,0.86,3.5,0.9,0.85,0.25,0.91,1.09,0,0.67,1,1,0,0,1500,1500
2024/10/2 2:00,A276,切尔西U21,安德莱赫特U21,0.84,3.5,0.92,0.75,3.75,0.95,0.9,1.25,0.86,0.68,2,1.02,4,0,2,0,1515,1485
2024/10/2 2:00,A414,新圣徒U19,萨尔格里斯U19,0.98,3.25,0.78,0.91,3,0.89,0.98,0.5,0.78,0.74,0.5,1.08,0,4,0,2,1485,1515
2024/10/2 2:00,A20,利雅得新月,巴格达警察,0.95,3.5,0.81,0.95,4,0.85,0.95,2.5,0.81,1.02,3.25,0.8,5,0,2,0,1515,1485
2024/10/2 2:00,A20,加拉法,阿尔艾因,0.85,2.75,0.91,0.83,3.25,0.97,0.77,-0.75,0.99,0.92,-0.5,0.9,4,2,1,0,1515,1485
2024/10/2 2:30,A187,SV霍恩,第一维也纳,0.82,2.75,0.98,0.87,2.75,0.99,0.86,-0.5,0.96,0.87,-0.25,1.01,3,6,2,2,1485,1515
2024/10/2 2:30,A187,维也纳迅速青年队,阿姆斯特顿,0.84,3,0.96,1.02,3.25,0.84,0.95,0.5,0.87,0.86,0,1.02,1,0,0,0,1515,1485
2024/10/2 2:30,A187,圣珀尔滕,阿德米拉,0.86,2.5,0.94,1.04,2.25,0.82,1.04,0,0.78,0.81,0,1.07,0,1,0,0,1485,1515
2024/10/2 2:45,A5,特兰米尔,斯文登,1.01,2.5,0.79,0.82,2.25,1.04,0.97,0.25,0.85,1,0.25,0.88,1,1,1,0,1500,1500
2024/10/2 2:45,A5,唐卡斯特,巴洛,0.84,2.5,0.96,1.07,2.5,0.79,0.81,0.5,1.01,0.96,0.25,0.92,1,0,0,0,1515,1485
2024/10/2 2:45,A5,吉林汉姆,格林斯比,0.98,2.5,0.82,0.97,2.5,0.89,0.99,0.5,0.83,1.13,0.5,0.76,0,1,0,1,1485,1515
2024/10/2 2:45,A5,维尔港,科切斯特联,0.88,2.5,0.92,1.11,2.5,0.76,0.93,0.5,0.89,0.81,0.5,1.07,1,1,0,0,1500,1500
2024/10/2 2:45,A5,切尔滕汉姆,阿克灵顿,0.99,2.75,0.81,0.96,2.5,0.9,0.81,0.25,1.01,1.04,0.25,0.84,2,1,0,1,1515,1485
2024/10/2 2:45,A5,沃尔索尔,弗利特伍德,0.84,2.5,0.96,0.85,2.5,1.01,1.02,0.5,0.8,1.01,0.5,0.87,2,6,2,1,1485,1515
2024/10/2 2:45,A5,哈洛贾特,米尔顿凯恩斯,0.96,2.75,0.84,0.89,2.5,0.97,0.9,-0.5,0.92,1.02,-0.5,0.86,1,5,0,3,1485,1515
2024/10/2 2:45,A5,纽波特,索尔福德市,0.99,2.75,0.81,0.9,2.5,0.96,0.84,-0.25,0.98,0.98,-0.25,0.9,3,1,2,0,1515,1485
2024/10/2 2:45,A5,布罗姆利,车士打菲特,0.81,2.5,0.99,0.91,2.5,0.95,0.91,-0.25,0.91,0.93,-0.25,0.95,2,2,1,2,1500,1500
2024/10/2 2:45,A5,莫雷坎比,布拉德福德,0.89,2.5,0.91,0.94,2.5,0.92,0.95,-0.5,0.87,1.06,-0.25,0.82,1,1,1,0,1500,1500
2024/10/2 2:45,A5,卡利斯尔联,诺茨郡,0.95,3,0.85,1.19,3,0.7,0.97,0,0.85,0.95,0,0.93,0,2,0,2,1485,1515
2024/10/2 2:45,A101,伯恩利,普利茅斯,0.99,3,0.87,0.92,3,0.95,1.01,1.25,0.87,1.06,1.25,0.83,1,0,1,0,1515,1485
2024/10/2 2:45,A101,桑德兰,德比郡,1.05,2.5,0.81,1.02,2.5,0.85,0.93,0.75,0.95,0.82,0.75,1.07,2,0,1,0,1515,1485
2024/10/2 2:45,A101,女王公园巡游者,赫尔城,0.94,2.5,0.92,0.92,2.5,0.95,0.84,0,1.04,0.92,0,0.97,1,3,1,2,1485,1515
2024/10/2 2:45,A178,布里斯托流浪,查尔顿,0.94,2.5,0.86,0.92,2.25,0.94,0.82,-0.25,1,1,-0.25,0.88,3,2,1,0,1515,1485
2024/10/2 2:45,A101,考文垂,布莱克本,0.99,2.75,0.87,1.04,2.75,0.83,1.04,0.5,0.84,1.05,0.5,0.84,3,0,1,0,1515,1485
2024/10/2 2:45,A474,纽卡斯尔联,AFC温布尔登,0.9,3.25,0.96,0.97,3.5,0.9,0.92,2,0.96,1.04,2.5,0.85,1,0,1,0,1515,1485
2024/10/2 2:45,A178,维冈竞技,彼得堡联,0.94,2.75,0.86,0.86,2.5,1,0.95,0,0.87,0.82,0.25,1.06,3,0,1,0,1515,1485
2024/10/2 2:45,A178,克劳利,曼斯菲特,0.81,2.75,0.99,1.06,3,0.8,1.02,0,0.8,0.82,-0.25,1.06,0,2,0,1,1485,1515
2024/10/2 2:45,A178,剑桥联,罗瑟汉姆,0.95,2.5,0.85,1.04,2.5,0.82,0.88,-0.25,0.94,0.85,-0.5,1.03,0,1,0,0,1485,1515
2024/10/2 2:45,A178,巴恩斯利,韦康比流浪者,0.96,2.75,0.84,1.01,2.75,0.85,0.89,0.25,0.93,0.96,0.25,0.92,2,2,0,0,1500,1500
2024/10/2 2:45,A101,卡迪夫城,米尔沃尔,0.87,2,0.99,1.07,2.25,0.8,0.83,-0.25,1.05,0.91,-0.25,0.98,1,0,1,0,1515,1485
2024/10/2 2:45,A178,斯蒂文尼奇,雷克斯汉姆,0.8,2.25,1,0.88,2,0.98,0.76,0,1.06,1.09,0.25,0.79,1,0,1,0,1515,1485
2024/10/2 2:45,A178,伯明翰,哈德斯菲尔德,0.97,2.75,0.83,0.94,2.75,0.92,0.9,0.5,0.92,0.82,0.75,1.06,1,0,0,0,1515,1485
2024/10/2 2:45,A178,什鲁斯伯里,斯托克港,0.86,2.5,0.94,1.03,2.5,0.83,0.92,-0.5,0.9,0.83,-0.5,1.05,0,2,0,1,1485,1515
2024/10/2 2:45,A178,布莱克浦,林肯城,0.99,2.5,0.81,1,2.5,0.86,0.85,0.5,0.97,0.97,0.5,0.91,1,1,0,0,1500,1500
2024/10/2 2:45,A178,北安普敦,博尔顿,0.84,2.5,0.96,0.83,2.25,1.03,1.02,-0.5,0.8,0.93,-0.75,0.95,2,4,0,2,1485,1515
2024/10/2 2:45,A101,卢顿,牛津联队,1.03,2.75,0.83,1.05,2.75,0.82,0.89,0.75,0.99,0.88,0.75,1.01,2,2,2,1,1500,1500
2024/10/2 2:45,A101,诺维奇,利兹联,1.03,2.75,0.83,0.89,2.5,0.98,0.89,-0.5,0.99,1.04,-0.25,0.85,1,1,1,0,1500,1500
2024/10/2 2:45,A178,莱顿东方,埃克塞特城,0.92,2.5,0.88,0.84,2.25,1.02,0.81,0.25,1.01,1.02,0.5,0.86,0,1,0,1,1485,1515
2024/10/2 3:00,A101,西布罗姆维奇,米德尔斯堡,0.98,2.5,0.88,0.9,2.5,0.97,0.82,0,1.06,1.11,0.25,0.79,0,1,0,0,1485,1515
2024/10/2 3:00,A178,雷丁,伯顿,0.8,2.75,1,0.9,3,0.96,0.83,0.75,0.99,0.9,0.75,0.98,3,1,2,0,1515,1485
2024/10/2 3:00,A413,埃因霍温,里斯本竞技,0.91,3,0.89,0.9,3,0.99,0.82,0,1,0.95,-0.25,0.94,1,1,1,0,1500,1500
2024/10/2 3:00,A413,布拉迪斯拉发,曼彻斯特城,0.97,4,0.83,1.06,4,0.83,0.91,-3,0.91,0.98,-3,0.91,0,4,0,2,1485,1515
2024/10/2 3:00,A413,多特蒙德,凯尔特人,0.84,3,0.96,0.84,3.25,1.05,0.89,1.25,0.93,0.95,1.25,0.94,7,1,5,1,1515,1485
2024/10/2 3:00,A413,国际米兰,贝尔格莱德红星,0.89,3.5,0.91,1.04,3,0.85,0.98,2.25,0.84,0.89,1.75,1,4,0,1,0,1515,1485
2024/10/2 3:00,A52,圣克鲁斯,国民波托斯,0.94,2.75,0.82,0.9,2.25,0.9,1,0,0.76,1.19,0,0.66,2,4,1,2,1485,1515
2024/10/2 3:00,A413,勒沃库森,AC米兰,0.87,3,0.93,0.96,3.25,0.93,0.92,1,0.9,0.84,0.75,1.05,1,0,0,0,1515,1485
2024/10/2 3:00,A413,巴塞罗那,年青人,0.83,3.75,0.97,0.96,4.5,0.93,0.85,2.5,0.97,0.85,3,1.04,5,0,3,0,1515,1485
2024/10/2 3:00,A413,阿森纳,巴黎圣日尔曼,0.96,2.75,0.84,0.99,2.5,0.9,0.97,0.75,0.85,0.93,0.75,0.96,2,0,2,0,1515,1485
2024/10/2 5:30,A1,泰格雷,阿根廷独立,0.82,1.75,1.04,0.96,1.75,0.91,0.94,0,0.94,0.87,-0.25,1.02,1,1,0,1,1500,1500
2024/10/2 6:30,A285,诺克斯维尔部队,前锋麦迪逊足球俱乐部,0.83,2.25,0.97,0.78,2.25,0.92,0.85,0,0.97,0.88,0.25,0.82,1,1,0,1,1500,1500
2024/10/2 7:30,A239,泰里尼登斯,卢捷诺体育会,0.84,2.5,0.86,1.05,2.25,0.65,0.98,0.25,0.72,1,0.25,0.7,2,2,1,1,1500,1500
2024/10/2 7:30,A1,罗萨里奥中央,萨斯菲尔德,0.98,2,0.88,0.86,1.75,1.01,0.95,-0.25,0.93,1.05,-0.25,0.84,3,0,1,0,1515,1485
2024/10/2 8:00,A458,锡瓦奥,瓦纳明特,0.8,2.75,0.9,0.72,2.75,0.98,0.82,1,0.88,0.81,1,0.89,4,1,2,0,1515,1485
2024/10/2 9:00,A280,百万富翁,布卡拉曼格,0.86,2,0.94,0.93,2,0.87,0.83,0.75,0.99,0.88,0.75,0.94,0,0,0,0,1500,1500
2024/10/2 9:30,A530,温哥华白帽女足,圣地亚哥波浪女足,0.82,6,0.88,0.95,5.5,0.75,0.9,-5.25,0.8,0.67,-4.75,1.03,0,2,0,0,1485,1515
2024/10/2 10:00,A457,萨普里萨,安提瓜GFC,0.78,2.5,0.92,0.69,2.5,1.01,0.9,1.25,0.8,0.82,1.5,0.88,0,3,0,1,1485,1515
2024/10/2 10:30,A530,波特兰荆棘女足,圣塔菲女足,0.78,5,0.92,1,5.25,0.7,0.86,4.5,0.84,0.75,4.75,0.95,2,1,1,0,1515,1485
2024/10/2 13:00,A158,丸安冈崎,平田町,0.88,2.75,0.88,1,2.75,0.86,0.99,0.25,0.77,1.02,0.25,0.86,2,2,1,1,1500,1500
2024/10/2 16:00,A251,波斯帕蒂,伯斯古古杜斯,0.9,2.25,0.8,1.07,2.25,0.63,0.85,0.25,0.85,0.9,0.25,0.8,0,0,0,0,1500,1500
2024/10/2 16:00,A251,BRT梳邦,努桑塔拉联,0.85,2.75,0.85,0.8,2.75,0.9,0.95,-1.25,0.75,0.7,-1.25,1,1,2,1,2,1485,1515
2024/10/2 16:00,A251,西马希,普斯拉加艾瑟,0.75,2.25,0.95,0.9,2.25,0.8,0.75,0.75,0.95,0.85,0.75,0.85,0,3,0,2,1485,1515
2024/10/2 16:00,A251,伯希卡波1973,波斯科塔格朗,0.78,2.5,0.92,0.84,2.5,0.86,0.8,0.25,0.9,0.78,0.25,0.92,1,2,0,1,1485,1515
2024/10/2 16:00,A251,永亚卡达,杰帕拉,0.9,2.25,0.8,0.99,2.25,0.71,0.92,1,0.78,0.98,1,0.72,0,0,0,0,1500,1500
2024/10/2 16:30,A251,棉兰,普特拉锡纳,0.9,2.25,0.8,0.95,2.25,0.75,0.88,0.25,0.82,0.95,0.25,0.75,0,0,0,0,1500,1500
2024/10/2 17:00,A532,齐朗足球俱乐部,RTC,0.8,3.5,0.9,0.95,3.5,0.75,0.95,-1,0.75,0.92,-1,0.78,1,1,1,0,1500,1500
2024/10/2 17:00,A202,般奴U19,帕尔杜比斯U19,0.84,3.25,0.86,0.78,3.25,0.92,0.8,0.75,0.9,1.01,0.5,0.69,1,1,1,1,1500,1500
2024/10/2 17:00,A202,利巴域U19,布杰约维采迪纳摩U19,0.81,3,0.89,0.7,3,1,0.88,0.5,0.82,0.7,0.5,1,3,3,0,2,1500,1500
2024/10/2 17:00,A158,威蒂恩三重,枥木市FC,0.89,2.5,0.87,0.85,2.5,1.01,0.8,-0.25,0.96,0.91,-0.25,0.97,1,2,0,2,1485,1515
2024/10/2 17:00,A158,铃鹿竞技,冲绳SV,0.79,2.25,0.97,1.03,2.5,0.83,0.86,0,0.9,0.94,0,0.94,0,3,0,3,1485,1515
2024/10/2 17:00,A146,波利斯拉夫B队,塔比历斯B队,0.75,2.75,0.95,0.83,2.75,0.87,0.97,1,0.73,0.92,0.75,0.78,2,2,1,0,1500,1500
2024/10/2 18:00,A227,大阪樱花,大阪钢巴,0.96,2.25,0.9,0.94,2.25,0.94,0.93,0,0.95,1.16,0,0.75,1,0,0,0,1515,1485
2024/10/2 18:00,A20,神户胜利船,山东泰山,0.99,3,0.77,0.82,3,0.98,0.99,1.25,0.77,1,1.75,0.82,2,1,1,1,1515,1485
2024/10/2 18:00,A156,赞岐,福岛FC,0.85,2.5,0.95,0.86,2.25,1,0.82,0,1,1.09,0.25,0.79,4,1,2,0,1515,1485
2024/10/2 18:00,A20,横滨水手,蔚山HD,0.83,3,0.93,0.88,3.25,0.92,0.85,0,0.91,0.91,0.25,0.91,4,0,2,0,1515,1485
2024/10/2 18:00,A379,马夫拉U23,辛达卡拉U23,0.8,2.5,0.96,1,2.5,0.8,1.01,0.25,0.75,0.91,0,0.91,1,3,1,2,1485,1515
2024/10/2 19:00,A249,松达尔U19,罗森博格U19,0.8,4.75,0.9,1,4.75,0.7,0.75,0.75,0.95,0.7,0.75,1,3,2,2,0,1515,1485
2024/10/2 20:00,A411,淡滨尼流浪者,理文,0.88,3,0.92,0.86,3.25,0.94,0.91,0,0.91,0.89,-0.25,0.93,3,1,1,1,1515,1485
2024/10/2 20:00,A414,阿斯顿维拉U19,拜仁慕尼黑U19,0.88,3,0.88,0.74,3.25,1.02,0.97,-0.5,0.79,0.95,-0.25,0.81,0,1,0,0,1485,1515
2024/10/2 20:00,A414,科裏库B U19,拜利斯U19,0.97,3,0.79,0.84,3,0.92,0.8,0,0.96,1.04,0,0.72,2,1,0,0,1515,1485
2024/10/2 20:00,A414,赫罗纳U19,飞燕诺U19,0.86,3,0.9,0.79,3,0.97,0.85,-0.5,0.91,0.81,-0.5,0.95,2,0,0,0,1515,1485
